scheme,boundary,mean_hit_ratio,mean_best_cover,mean_best_iou,full80_ratio,avg_num_pred_spans,rank_score
baseline_current_raw,peeks_hz0.55_exp14_24,1.0,0.9519453401785262,0.5529439488037929,0.9148936170212766,1.2127659574468086,0.899634189205105
baseline_current_raw,peeks_hz0.75_exp14_24,1.0,0.9485722213409549,0.5513857485034379,0.9148936170212766,1.2127659574468086,0.8975580797112304
baseline_current_raw,peeks_hz0.95_exp14_24,1.0,0.9359075810167401,0.5480344898330303,0.8936170212765957,1.2340425531914894,0.8881539023283297
object_residual_turn,peeks_hz0.55_exp14_24,1.0,0.898761356956188,0.5414418012228767,0.8085106382978723,1.3829787234042554,0.8586772989965791
object_residual_turn,peeks_hz0.75_exp14_24,1.0,0.8944093260084124,0.5382503118611746,0.7872340425531915,1.3829787234042554,0.8535757516077976
baseline_current_raw,peeks_hz0.55_exp10_18,1.0,0.8826844698904655,0.5570493414805765,0.7872340425531915,1.4893617021276595,0.8518811660600576
object_residual_turn,peeks_hz0.95_exp14_24,1.0,0.8921930139516748,0.5371138337923241,0.7659574468085106,1.3829787234042554,0.8500558164877483
baseline_current_raw,peeks_hz0.75_exp10_18,1.0,0.8790518803730809,0.555307397969316,0.7659574468085106,1.4893617021276595,0.8475017258490823
object_balanced_with_collision,peeks_hz0.55_exp14_24,1.0,0.8811802571618385,0.5150059959858926,0.7659574468085106,1.3617021276595744,0.8391288616199455
object_scene_light,peeks_hz0.75_exp14_24,1.0,0.8816575774341794,0.530746961570325,0.723404255319149,1.3829787234042554,0.8389410610245646
object_scene_light,peeks_hz0.55_exp14_24,1.0,0.8816575774341794,0.5272786309791216,0.723404255319149,1.3829787234042554,0.8380739783767638
baseline_current_raw,peeks_hz0.95_exp10_18,1.0,0.8638543119840232,0.5515126205183237,0.7446808510638298,1.5319148936170213,0.8366138217598905
object_scene_light,peeks_hz0.95_exp14_24,1.0,0.8761772421666101,0.5280886320270962,0.7021276595744681,1.3829787234042554,0.8334086514305048
object_scene_balanced,peeks_hz0.55_exp14_24,1.0,0.8718385967845769,0.5356774590004336,0.7021276595744681,1.446808510638298,0.8328173865466522
object_balanced_with_collision,peeks_hz0.75_exp14_24,1.0,0.8695287880635607,0.5110404885109264,0.7446808510638298,1.3829787234042554,0.8300777076488738
object_scene_balanced,peeks_hz0.75_exp14_24,0.9787234042553191,0.8597496219296444,0.528185699935405,0.7021276595744681,1.446808510638298,0.8206446402039926
object_balanced_with_collision,peeks_hz0.95_exp14_24,1.0,0.850762130431542,0.4985512323624275,0.7021276595744681,1.3829787234042554,0.8133167456468036
object_residual_turn,peeks_hz0.55_exp10_18,1.0,0.8365412263136041,0.5281541924429347,0.6595744680851063,1.553191489361702,0.8085006506292378
object_scene_balanced,peeks_hz0.95_exp14_24,0.9787234042553191,0.8453252631603809,0.5213130850156414,0.6595744680851063,1.4680851063829787,0.8073526049617603
object_residual_turn,peeks_hz0.75_exp10_18,1.0,0.8292878414006446,0.5224551042970381,0.6382978723404256,1.553191489361702,0.8013215265618159
object_residual_turn,peeks_hz0.95_exp10_18,1.0,0.8270715293439069,0.5212987315824676,0.6382978723404256,1.553191489361702,0.7999242773548043
object_scene_light,peeks_hz0.75_exp10_18,1.0,0.7953581345374465,0.5295407823449209,0.5531914893617021,1.7234042553191489,0.7767663905145279
