hit_ratio,full80_ratio,mean_best_cover,mean_best_iou,mean_best_pred_to_gt_ratio,avg_span_ratio,num_pred_spans,gt_lift,wide_single_flag,raw_span_count,final_span_count,merge_compression,merge_to_single_flag,merge_to_single_rate,scheme,boundary,coverage_rank,vlm_ready_rank,method,high_z,low_z,peak_gap,peak_expand_left,peak_expand_right,peak_expand_sum,merge_gap,min_span_len
1.0,0.7659574468085106,0.8706314400992462,0.5675127072968129,1.6505194639044747,0.8299116282511885,1.7872340425531914,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.7872340425531914,0.2196394813518979,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp8_12_mg8_min6,0.7540525948571211,0.6467424411260465,by_thres,1.0,0.0,4,8,12,20,8,6
1.0,0.7659574468085106,0.8706314400992462,0.5674804700305331,1.6506280179643964,0.830054312000663,1.7872340425531914,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.7872340425531914,0.22023463088321765,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg8_min4,0.7540467921491908,0.6466944780385993,by_thres,0.8,0.0,4,8,12,20,8,4
1.0,0.7659574468085106,0.8706314400992462,0.5674804700305331,1.6506280179643964,0.830054312000663,1.7872340425531914,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.7872340425531914,0.22023463088321765,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg8_min6,0.7540467921491908,0.6466944780385993,by_thres,0.8,0.0,4,8,12,20,8,6
1.0,0.7659574468085106,0.8651273055075777,0.5691785093763897,1.5997729899528197,0.8255798726199014,1.8936170212765957,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8936170212765957,0.20975856128900694,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg4_min4,0.7520407027029441,0.6466572557706642,by_thres,1.2,0.0,4,8,12,20,4,4
1.0,0.7659574468085106,0.8651273055075777,0.5691785093763897,1.5997729899528197,0.8255798726199014,1.8936170212765957,0.6045345284559942,0.2978723404255319,4.9361702127659575,1.8936170212765957,0.20975856128900694,0.0,0.0,source_like_smooth3,thres_hz1.2_lz0_exp8_12_mg4_min6,0.7520407027029441,0.6466572557706642,by_thres,1.2,0.0,4,8,12,20,4,6
1.0,0.7659574468085106,0.8670615414843669,0.5660918711806975,1.6304301915826658,0.8266919947837502,1.851063829787234,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.851063829787234,0.22140204409710343,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg4_min8,0.7522974869379709,0.6464100278032356,by_thres,0.8,0.0,4,8,12,20,4,8
1.0,0.7659574468085106,0.8670615414843669,0.5660918711806975,1.6304301915826658,0.8286014328634009,1.872340425531915,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.872340425531915,0.2160828951609332,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg4_min4,0.7522974869379709,0.6458371963793405,by_thres,0.8,0.0,4,8,12,20,4,4
1.0,0.7659574468085106,0.8670615414843669,0.5660918711806975,1.6304301915826658,0.8286014328634009,1.872340425531915,0.6045345284559942,0.2978723404255319,5.0212765957446805,1.872340425531915,0.2160828951609332,0.0,0.0,source_like_smooth3,thres_hz0.8_lz0_exp8_12_mg4_min6,0.7522974869379709,0.6458371963793405,by_thres,0.8,0.0,4,8,12,20,4,6
1.0,0.7446808510638298,0.8655356687015333,0.5711904061237216,1.6096400282760714,0.8160603980587353,1.8297872340425532,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.8297872340425532,0.2168541815453215,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp6_10_mg8_min4,0.7487445694248827,0.6457969065901392,by_thres,1.0,0.0,4,6,10,16,8,4
1.0,0.7446808510638298,0.8655356687015333,0.5711904061237216,1.6096400282760714,0.8160603980587353,1.8297872340425532,0.6045345284559942,0.2978723404255319,4.9787234042553195,1.8297872340425532,0.2168541815453215,0.0,0.0,source_like_smooth3,thres_hz1_lz0_exp6_10_mg8_min6,0.7487445694248827,0.6457969065901392,by_thres,1.0,0.0,4,6,10,16,8,6
