mean_hit_ratio,mean_best_cover,mean_best_iou,full80_ratio,avg_num_pred_spans,avg_span_ratio,mean_best_pred_to_gt_ratio,mean_gt_lift,vlm_refine_rank,scheme,boundary
1.0,0.984986024482705,0.5519492436024451,0.9787234042553191,1.1063829787234043,0.9149398227240669,2.0090728803453,0.6045345284559942,0.639453078240166,source_like_smooth3,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.984986024482705,0.5519492436024451,0.9787234042553191,1.1063829787234043,0.9149398227240669,2.0090728803453,0.6045345284559942,0.639453078240166,source_like_smooth3,peeks_hz1.35_exp14_24_mg12_min8
1.0,0.984986024482705,0.5519492436024451,0.9787234042553191,1.1063829787234043,0.9149398227240669,2.0090728803453,0.6045345284559942,0.639453078240166,source_like_smooth3,peeks_hz1.35_exp14_24_mg12_min10
1.0,0.984986024482705,0.5509078974258422,0.9787234042553191,1.1063829787234043,0.9161385041744715,2.011007116322089,0.6045345284559942,0.6391867819255417,source_like_smooth3,peeks_hz0.95_exp14_24_mg12_min6
1.0,0.984986024482705,0.5509078974258422,0.9787234042553191,1.1063829787234043,0.9161385041744715,2.011007116322089,0.6045345284559942,0.6391867819255417,source_like_smooth3,peeks_hz0.95_exp14_24_mg12_min8
1.0,0.984986024482705,0.5509078974258422,0.9787234042553191,1.1063829787234043,0.9161385041744715,2.011007116322089,0.6045345284559942,0.6391867819255417,source_like_smooth3,peeks_hz0.95_exp14_24_mg12_min10
1.0,0.984986024482705,0.5509078974258422,0.9787234042553191,1.1063829787234043,0.9161385041744715,2.011007116322089,0.6045345284559942,0.6391867819255417,source_like_smooth3,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.984986024482705,0.5509078974258422,0.9787234042553191,1.1063829787234043,0.9161385041744715,2.011007116322089,0.6045345284559942,0.6391867819255417,source_like_smooth3,peeks_hz1.15_exp14_24_mg12_min8
1.0,0.984986024482705,0.5509078974258422,0.9787234042553191,1.1063829787234043,0.9161385041744715,2.011007116322089,0.6045345284559942,0.6391867819255417,source_like_smooth3,peeks_hz1.15_exp14_24_mg12_min10
1.0,0.9969418500067447,0.5356025152988949,1.0,1.0638297872340425,0.951873314949935,2.1329043963673566,0.5972107275230611,0.638820050473684,source_like_no_smooth,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9969418500067447,0.5356025152988949,1.0,1.0638297872340425,0.951873314949935,2.1329043963673566,0.5972107275230611,0.638820050473684,source_like_no_smooth,peeks_hz1.15_exp14_24_mg12_min8
