hit_ratio,full80_ratio,mean_best_cover,mean_best_iou,mean_best_pred_to_gt_ratio,avg_span_ratio,num_pred_spans,gt_lift,wide_single_flag,rank,scheme,boundary
1.0,0.9787234042553191,0.9738888321371061,0.5464486103787384,2.0027796076997055,0.9071085360072536,1.1914893617021276,0.5543282875751562,0.5319148936170213,0.7317072845131714,turn_focus__none__scene0.00__smooth3,peeks_hz1.35_exp10_16_mg12_min6
1.0,0.9787234042553191,0.9738888321371061,0.5445786436238499,2.008185493458264,0.9106583208949312,1.1914893617021276,0.5543282875751562,0.5319148936170213,0.7297222899449168,turn_focus__none__scene0.00__smooth3,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9574468085106383,0.9685816632661074,0.552096268280012,1.9696247773374287,0.9059192218240709,1.2340425531914894,0.5543282875751562,0.5106382978723404,0.729126531428274,turn_focus__none__scene0.00__smooth3,peeks_hz1.35_exp10_16_mg8_min6
1.0,0.9574468085106383,0.9668815793138179,0.5437708514155947,2.01594600032131,0.9025149136431895,1.1702127659574468,0.5583247429829963,0.5319148936170213,0.7267441532354897,compact_mixed__none__scene0.00__smooth3,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9574468085106383,0.9668815793138179,0.5437708514155947,2.01594600032131,0.9025149136431895,1.1702127659574468,0.5583247429829963,0.5319148936170213,0.7267441532354897,compact_mixed__none__scene0.00__smooth3,peeks_hz1.35_exp10_16_mg12_min6
1.0,0.9787234042553191,0.9789327572247614,0.5435808529305305,2.026000200754031,0.9209662021013297,1.1914893617021276,0.5543282875751562,0.5531914893617021,0.7253660430422746,turn_focus__none__scene0.00__smooth3,peeks_hz1.35_exp12_20_mg8_min6
1.0,0.9787234042553191,0.9749897295726003,0.5424656055736343,2.042230818546762,0.9175753663123924,1.1702127659574468,0.5583247429829963,0.5531914893617021,0.7251125346094959,compact_mixed__none__scene0.00__smooth3,peeks_hz1.15_exp12_20_mg8_min6
1.0,0.9787234042553191,0.9749897295726003,0.5424656055736343,2.042230818546762,0.9175753663123924,1.1702127659574468,0.5583247429829963,0.5531914893617021,0.7251125346094959,compact_mixed__none__scene0.00__smooth3,peeks_hz1.35_exp12_20_mg8_min6
1.0,0.9574468085106383,0.9690129456122835,0.5442150592710782,1.986244004096562,0.9102908494658347,1.2127659574468086,0.5543282875751562,0.5319148936170213,0.7244861250268898,turn_focus__none__scene0.00__smooth3,peeks_hz1.15_exp10_16_mg8_min6
1.0,0.9787234042553191,0.9811617339218232,0.5417510410147937,2.0410882371186627,0.9222665837208603,1.148936170212766,0.5543282875751562,0.574468085106383,0.7238085599561498,turn_focus__none__scene0.00__smooth3,peeks_hz1.35_exp12_20_mg12_min6
1.0,0.9787234042553191,0.9772187062696622,0.5406357936578974,2.057318854911394,0.918875747931923,1.127659574468085,0.5583247429829963,0.574468085106383,0.7235550515233712,compact_mixed__none__scene0.00__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9787234042553191,0.9772187062696622,0.5406357936578974,2.057318854911394,0.918875747931923,1.127659574468085,0.5583247429829963,0.574468085106383,0.7235550515233712,compact_mixed__none__scene0.00__smooth3,peeks_hz1.35_exp12_20_mg12_min6
1.0,0.9787234042553191,0.9789327572247614,0.5421011654300971,2.030102373538038,0.9236404512167327,1.1914893617021276,0.5543282875751562,0.574468085106383,0.7225820986794429,turn_focus__none__scene0.00__smooth3,peeks_hz1.15_exp12_20_mg8_min6
1.0,0.8936170212765957,0.9455991667905449,0.5455969727696568,1.8961938780477432,0.889157764883771,1.2340425531914894,0.5685012682707623,0.425531914893617,0.722562659692341,turn_focus__layout_only__scene0.15__smooth5,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9361702127659575,0.9647475728670477,0.5454477978513476,1.957715513120921,0.9075858606146453,1.1702127659574468,0.5685012682707623,0.5319148936170213,0.7220540524099526,turn_focus__layout_only__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9361702127659575,0.9620056927889953,0.5434072670628228,1.9940045109596078,0.9021474422140932,1.1914893617021276,0.5583247429829963,0.5319148936170213,0.7215079883174625,compact_mixed__none__scene0.00__smooth3,peeks_hz1.15_exp10_16_mg8_min6
1.0,0.9361702127659575,0.9620056927889953,0.5434072670628228,1.9940045109596078,0.9021474422140932,1.1914893617021276,0.5583247429829963,0.5319148936170213,0.7215079883174625,compact_mixed__none__scene0.00__smooth3,peeks_hz1.35_exp10_16_mg8_min6
1.0,0.9787234042553191,0.9801485626958859,0.5322424778556748,2.060659382470576,0.9238078176138682,1.1063829787234043,0.5762373738070118,0.5957446808510638,0.7212816367658084,turn_focus__layout_only__scene0.15__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9787234042553191,0.9811617339218232,0.5402713535143603,2.04519040990267,0.924940832836263,1.148936170212766,0.5543282875751562,0.5957446808510638,0.7210246155933182,turn_focus__none__scene0.00__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9574468085106383,0.9678195742107408,0.5318749086206952,2.0264877181781267,0.9099634789364031,1.127659574468085,0.5762373738070118,0.574468085106383,0.7205745115028476,turn_focus__layout_only__scene0.15__smooth3,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9574468085106383,0.9721644281275541,0.539446629047216,2.0004260899383417,0.9116254925859023,1.1063829787234043,0.5713812418955755,0.6170212765957447,0.7203648061272245,turn_focus__lowres_dominant__scene0.15__smooth5,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9787234042553191,0.9761592009937583,0.5316292451269083,2.050685978215257,0.9233668518989526,1.127659574468085,0.5762373738070118,0.5957446808510638,0.7199832276956457,turn_focus__layout_only__scene0.15__smooth3,peeks_hz1.35_exp12_20_mg12_min6
1.0,0.9148936170212766,0.9578900426209066,0.5427089564184263,1.94323914142515,0.9007835318026156,1.1914893617021276,0.5711933291626182,0.5106382978723404,0.719847783747922,compact_mixed__layout_only__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9148936170212766,0.9565602553868641,0.5413791691843837,1.9419093541911074,0.8998308484110629,1.1914893617021276,0.5711933291626182,0.5106382978723404,0.7195531134822291,compact_mixed__layout_only__scene0.15__smooth5,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9574468085106383,0.9742401935660594,0.540324073755613,2.0030207967364735,0.912733648614271,1.1063829787234043,0.5713812418955755,0.6382978723404256,0.7195144997849405,turn_focus__lowres_dominant__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9787234042553191,0.9837618738772355,0.5398520209422636,2.0377168839012376,0.922295709276875,1.0851063829787233,0.5764188525524545,0.7021276595744681,0.7187069258295951,src_like__layout_only__scene0.25__smooth3,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9787234042553191,0.9837618738772355,0.5396809750934944,2.0382444028039983,0.922593979310679,1.0851063829787233,0.5764188525524545,0.7021276595744681,0.7185364436562683,src_like__layout_only__scene0.25__smooth3,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9361702127659575,0.9621355565565292,0.5406258742253084,1.9631682054692323,0.9119261579392958,1.1702127659574468,0.5717944786487583,0.5319148936170213,0.7184631200556744,turn_focus__lowres_only__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg8_min6
1.0,0.9574468085106383,0.963256018960733,0.5410179457347127,2.0177558780608793,0.914426767730354,1.1914893617021276,0.5552558610017629,0.5531914893617021,0.7180010029552706,src_like__balanced__scene0.15__smooth3,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9148936170212766,0.9565602553868641,0.5403540365819642,1.9495281956407373,0.9027435019069217,1.1702127659574468,0.5685012682707623,0.5106382978723404,0.7177268379006748,turn_focus__layout_only__scene0.15__smooth5,peeks_hz1.35_exp14_24_mg12_min6
1.0,1.0,0.9977549683154586,0.5436534011813454,2.0686678698573435,0.9409743641167355,1.0851063829787233,0.594942237309953,0.7659574468085106,0.7174736111313439,turn_focus__layout_only__scene0.25__smooth3,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9361702127659575,0.9642113219950346,0.540505337955556,1.9706928551838148,0.9129234983648277,1.148936170212766,0.5717944786487583,0.5531914893617021,0.7174037892775963,turn_focus__lowres_only__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9574468085106383,0.967920021892735,0.5354234889816595,2.0019184398733763,0.9220403747383134,1.148936170212766,0.5565686561761701,0.5319148936170213,0.7172860338330955,src_like__layout_only__scene0.15__smooth3,peeks_hz1.35_exp12_20_mg12_min6
1.0,0.8936170212765957,0.950395237064414,0.5421906304204654,1.9169067644366673,0.8954355992037569,1.1914893617021276,0.5713812418955755,0.48936170212765956,0.7171322773675217,turn_focus__lowres_dominant__scene0.15__smooth5,peeks_hz1.15_exp12_20_mg12_min6
1.0,1.0,0.9956854692866833,0.535716664818417,2.0920667036931904,0.9377835988126216,1.0638297872340425,0.5565686561761701,0.7021276595744681,0.7170859756813277,src_like__layout_only__scene0.15__smooth3,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9361702127659575,0.956775234434876,0.5334940040616278,1.984613583434088,0.9082482910510025,1.1702127659574468,0.5762373738070118,0.5319148936170213,0.7167390235400956,turn_focus__layout_only__scene0.15__smooth3,peeks_hz1.15_exp10_16_mg8_min6
1.0,0.9361702127659575,0.9517523045650653,0.5325633012128772,1.9632249552369154,0.9045795839872234,1.148936170212766,0.5764188525524545,0.5319148936170213,0.7166537664727407,src_like__layout_only__scene0.25__smooth3,peeks_hz1.35_exp12_20_mg12_min6
1.0,1.0,0.9977549683154586,0.5415325640071582,2.0716232483882346,0.9424046532658816,1.0851063829787233,0.5949709763690988,0.7659574468085106,0.7164417846713005,compact_mixed__layout_only__scene0.25__smooth3,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9361702127659575,0.9517523045650653,0.5324015976478527,1.9641041534081838,0.90507670071023,1.148936170212766,0.5764188525524545,0.5319148936170213,0.7163893691731307,src_like__layout_only__scene0.25__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,1.0,0.9969205920117457,0.5410517369846795,2.070788872084521,0.941923826243403,1.0851063829787233,0.5949709763690988,0.7659574468085106,0.7162614902511724,compact_mixed__layout_only__scene0.25__smooth3,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9148936170212766,0.9545562623002678,0.5434886028955741,1.92964471033172,0.9065049469840125,1.2127659574468086,0.5685012682707623,0.5106382978723404,0.7161526876147982,turn_focus__layout_only__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg8_min6
1.0,1.0,0.9956854692866833,0.534661236353727,2.0949795709677597,0.939509828547743,1.0638297872340425,0.5565686561761701,0.7021276595744681,0.7160916365658765,src_like__layout_only__scene0.15__smooth3,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9574468085106383,0.9700001864360874,0.53059638132771,2.0320185145589917,0.9222955616396468,1.1702127659574468,0.5762373738070118,0.574468085106383,0.7156506504526052,turn_focus__layout_only__scene0.15__smooth3,peeks_hz1.35_exp12_20_mg8_min6
1.0,0.8297872340425532,0.9133144107024095,0.5465314411239608,1.7990769169580045,0.8694739391165268,1.425531914893617,0.5713812418955755,0.3191489361702128,0.7155945316736563,turn_focus__lowres_dominant__scene0.15__smooth5,peeks_hz1.15_exp10_16_mg8_min6
1.0,0.8085106382978723,0.892887754078419,0.542799888235874,1.7430596945069934,0.8526075308642403,1.4042553191489362,0.5711933291626182,0.23404255319148937,0.715584564733471,compact_mixed__layout_only__scene0.15__smooth5,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9148936170212766,0.9543523984949623,0.5384939504031698,1.950297401053305,0.9056702737793416,1.1914893617021276,0.5565686561761701,0.48936170212765956,0.7155518965253158,src_like__layout_only__scene0.15__smooth3,peeks_hz1.35_exp10_16_mg12_min6
1.0,0.9574468085106383,0.9742401935660594,0.5365828800462513,2.0108285311681957,0.9173898199146325,1.1063829787234043,0.5700887420135451,0.6595744680851063,0.7153103489007377,turn_focus__balanced__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9574468085106383,0.9742401935660594,0.5365828800462513,2.0108285311681957,0.9173898199146325,1.1063829787234043,0.5700887420135451,0.6595744680851063,0.7153103489007377,turn_focus__balanced__scene0.15__smooth5,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.8085106382978723,0.8915579668443765,0.5414701010018313,1.7417299072729509,0.8516548474726875,1.4042553191489362,0.5711933291626182,0.23404255319148937,0.7152632987230974,compact_mixed__layout_only__scene0.15__smooth5,peeks_hz1.35_exp10_16_mg12_min6
1.0,0.8936170212765957,0.9438939130312263,0.5399748332760932,1.892607748264616,0.896025389233006,1.1914893617021276,0.5803741361150776,0.48936170212765956,0.7151205031702598,turn_focus__lowres_dominant__scene0.25__smooth5,peeks_hz1.35_exp12_20_mg12_min6
1.0,0.8297872340425532,0.9022808196253134,0.5483110671271961,1.753901369143979,0.8609951912058538,1.425531914893617,0.5685012682707623,0.3191489361702128,0.7150037699180939,turn_focus__layout_only__scene0.15__smooth5,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9574468085106383,0.9739895481382151,0.529703589960091,2.051000927823319,0.923311570482797,1.127659574468085,0.5762373738070118,0.5957446808510638,0.7149957450188253,turn_focus__layout_only__scene0.15__smooth3,peeks_hz1.15_exp12_20_mg8_min6
1.0,0.9361702127659575,0.9711373566866268,0.5358043299602723,1.9983002731445345,0.911396607136825,1.1063829787234043,0.5769364547499634,0.6382978723404256,0.7148534869487031,compact_mixed__lowres_dominant__scene0.15__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9361702127659575,0.9711373566866268,0.5358043299602723,1.9983002731445345,0.911396607136825,1.1063829787234043,0.5769364547499634,0.6382978723404256,0.7148534869487031,compact_mixed__lowres_dominant__scene0.15__smooth5,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9574468085106383,0.9689831114102209,0.5399982420388857,1.9909784589791468,0.9261240033161263,1.148936170212766,0.594942237309953,0.6170212765957447,0.7148105872245263,turn_focus__layout_only__scene0.25__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9574468085106383,0.9678663764781273,0.5307748568646208,2.0479228555783937,0.9227335976630472,1.1063829787234043,0.598380913749892,0.5957446808510638,0.7148078005086217,compact_mixed__balanced__scene0.25__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9787234042553191,0.9785642726578759,0.5329534046930797,2.0820407052326924,0.9253734638291515,1.0851063829787233,0.574543074724522,0.6808510638297872,0.7143962729216761,turn_focus__lowres_dominant__scene0.15__smooth3,peeks_hz1.15_exp12_20_mg8_min6
1.0,0.9787234042553191,0.9785642726578759,0.5329534046930797,2.0820407052326924,0.9253734638291515,1.0851063829787233,0.574543074724522,0.6808510638297872,0.7143962729216761,turn_focus__lowres_dominant__scene0.15__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9787234042553191,0.9854497325425824,0.5373180124706287,2.0936323667554464,0.9326105041049941,1.0851063829787233,0.5583247429829963,0.6595744680851063,0.7143796277500513,compact_mixed__none__scene0.00__smooth3,peeks_hz1.15_exp14_24_mg8_min6
1.0,0.9787234042553191,0.9854497325425824,0.5373180124706287,2.0936323667554464,0.9326105041049941,1.0851063829787233,0.5583247429829963,0.6595744680851063,0.7143796277500513,compact_mixed__none__scene0.00__smooth3,peeks_hz1.35_exp14_24_mg8_min6
1.0,0.9787234042553191,0.9775511014319387,0.5307334953870935,2.0843839424869164,0.9266599798705472,1.0851063829787233,0.5738383031826704,0.6595744680851063,0.7142373833113049,turn_focus__balanced__scene0.15__smooth3,peeks_hz1.35_exp12_20_mg12_min6
1.0,0.9361702127659575,0.9655588070432177,0.5395927799904694,2.021840606286191,0.9106019396527049,1.148936170212766,0.574543074724522,0.6170212765957447,0.7141957233244812,turn_focus__lowres_dominant__scene0.15__smooth3,peeks_hz1.15_exp10_16_mg8_min6
1.0,0.9361702127659575,0.9655588070432177,0.5395927799904694,2.021840606286191,0.9106019396527049,1.148936170212766,0.574543074724522,0.6170212765957447,0.7141957233244812,turn_focus__lowres_dominant__scene0.15__smooth3,peeks_hz1.15_exp10_16_mg12_min6
1.0,0.9787234042553191,0.9798766454183366,0.5355594325360512,2.0763001739148237,0.9307597676689522,1.1063829787234043,0.5552558610017629,0.6382978723404256,0.7140692986809452,src_like__balanced__scene0.15__smooth3,peeks_hz1.15_exp12_20_mg12_min6
1.0,0.9787234042553191,0.987784968660901,0.5377412288847067,2.0757939574288726,0.935661668186365,1.1063829787234043,0.5543282875751562,0.6595744680851063,0.714062415652482,turn_focus__none__scene0.00__smooth3,peeks_hz1.35_exp14_24_mg8_min6
1.0,0.8297872340425532,0.8960021379398734,0.5454651569245818,1.7437726367999777,0.859460609009657,1.4680851063829787,0.5685012682707623,0.2978723404255319,0.7139955838878235,turn_focus__layout_only__scene0.15__smooth5,peeks_hz1.15_exp10_16_mg8_min6
1.0,0.9787234042553191,0.9879935627368293,0.5370222232698464,2.089972696831829,0.934530039104926,1.0638297872340425,0.5972242761066461,0.723404255319149,0.7138520757033102,compact_mixed__layout_dominant__scene0.25__smooth3,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9148936170212766,0.9619805024555728,0.5378323526562613,1.9802905658882528,0.9101782328214669,1.148936170212766,0.5787039914346755,0.5531914893617021,0.7138349214079378,turn_focus__layout_dominant__scene0.25__smooth5,peeks_hz1.15_exp14_24_mg12_min6
1.0,0.9148936170212766,0.9619805024555728,0.5378323526562613,1.9802905658882528,0.9101782328214669,1.148936170212766,0.5787039914346755,0.5531914893617021,0.7138349214079378,turn_focus__layout_dominant__scene0.25__smooth5,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9148936170212766,0.9577835256087536,0.5373369907447365,1.958190392293672,0.9088685044090266,1.1702127659574468,0.5717944786487583,0.5319148936170213,0.7138248124737054,turn_focus__lowres_only__scene0.15__smooth5,peeks_hz1.35_exp14_24_mg8_min6
1.0,0.9787234042553191,0.989619799354257,0.5395846149272003,2.0585063584442675,0.9351951931734824,1.0851063829787233,0.594942237309953,0.7446808510638298,0.7137870969043235,turn_focus__layout_only__scene0.25__smooth3,peeks_hz1.35_exp14_24_mg12_min6
1.0,0.9361702127659575,0.9617610073350641,0.5365006488996411,1.9770624168370619,0.9207381959502465,1.1914893617021276,0.5565686561761701,0.5106382978723404,0.7135174486962985,src_like__layout_only__scene0.15__smooth3,peeks_hz1.35_exp12_20_mg8_min6
